shipment_id,distance_km,hours_to_deadline,origin_rain_mm,origin_storm,congestion_index,carrier_reliability,delay_prob
SHP-1830,348.74,49.2,49.9,1,0.75,0.78,0.546
SHP-1831,225.66,32.2,39.3,0,0.13,0.54,0.309
SHP-1832,1164.31,5.5,20.0,0,0.09,0.75,0.323
SHP-1833,1558.96,11.1,6.7,0,0.56,0.74,0.425
SHP-1834,1321.88,15.7,30.8,0,0.24,0.63,0.443
SHP-1835,888.63,49.9,28.8,0,0.67,0.71,0.44
SHP-1836,729.2,24.5,29.7,0,0.77,0.58,0.466
SHP-1837,731.95,59.5,40.1,0,0.44,0.95,0.368
SHP-1838,505.3,50.0,7.8,0,0.73,0.54,0.345
SHP-1839,1492.18,19.0,31.1,0,0.87,0.9,0.542
SHP-1840,76.78,50.6,5.6,0,0.45,0.51,0.222
SHP-1841,457.57,39.7,10.2,0,0.52,0.63,0.287
SHP-1842,991.9,53.1,7.1,0,0.7,0.51,0.415
SHP-1843,1186.86,48.4,2.2,0,0.17,0.64,0.293
SHP-1844,1588.92,45.3,2.7,0,0.65,0.5,0.479
SHP-1845,807.86,21.0,42.6,1,0.86,0.51,0.662
SHP-1846,1741.45,47.5,11.6,0,0.38,0.98,0.388
SHP-1847,244.23,24.1,43.3,0,0.19,0.75,0.298
SHP-1848,943.07,66.8,1.1,0,0.25,0.76,0.244
SHP-1849,700.46,29.5,7.9,0,0.35,0.67,0.273
SHP-1850,1269.2,18.5,48.9,1,0.81,0.81,0.686
SHP-1851,1763.42,64.3,40.7,0,0.94,0.97,0.621
SHP-1852,489.89,25.9,19.6,0,0.14,0.86,0.208
SHP-1853,1065.4,49.5,43.6,0,0.42,0.78,0.462
SHP-1854,881.61,23.9,30.3,1,0.54,0.6,0.541
SHP-1855,320.22,39.9,40.0,0,0.31,0.85,0.3
SHP-1856,1071.42,11.5,49.8,0,0.66,0.78,0.536
SHP-1857,358.19,6.7,26.6,0,0.18,0.91,0.214
SHP-1858,333.77,4.1,15.9,0,0.97,0.97,0.314
SHP-1859,641.53,54.2,41.1,1,0.15,0.59,0.473
SHP-1860,306.51,3.8,49.3,1,0.61,0.8,0.505
SHP-1861,1212.9,18.2,1.3,0,0.08,0.88,0.227
SHP-1862,311.47,61.2,23.4,1,0.18,0.69,0.338
SHP-1863,974.0,13.5,11.3,0,0.41,0.97,0.279
SHP-1864,1854.6,68.5,11.1,0,0.67,0.6,0.537
SHP-1865,448.9,14.4,47.7,1,0.87,0.74,0.584
SHP-1866,683.55,34.0,12.3,0,0.4,0.52,0.328
SHP-1867,1483.9,28.6,15.6,0,0.61,0.86,0.435
SHP-1868,1207.92,38.8,43.8,0,0.52,0.72,0.516
SHP-1869,1662.67,5.0,49.8,1,0.98,0.52,0.841
SHP-1870,805.43,55.6,48.1,0,0.29,0.7,0.431
SHP-1871,643.88,59.9,23.1,1,0.29,0.95,0.357
SHP-1872,1395.41,65.3,23.2,1,0.09,0.75,0.47
SHP-1873,400.55,43.0,44.7,0,0.39,0.66,0.385
SHP-1874,98.58,33.8,44.8,0,0.88,0.54,0.462
SHP-1875,681.95,47.4,35.6,0,0.72,0.56,0.477
SHP-1876,272.62,33.5,18.1,0,0.52,0.69,0.279
SHP-1877,1592.58,37.8,47.5,1,0.55,0.52,0.735
SHP-1878,383.23,25.5,43.6,0,0.16,0.57,0.35
SHP-1879,1549.86,5.6,15.4,0,0.73,0.97,0.446
SHP-1880,613.12,14.6,44.9,0,0.0,0.88,0.296
SHP-1881,73.81,36.8,24.9,0,0.61,0.74,0.285
SHP-1882,472.9,48.2,22.7,1,0.08,0.79,0.32
SHP-1883,527.19,40.3,31.0,0,0.05,0.57,0.299
SHP-1884,1323.89,4.6,42.7,1,0.33,0.54,0.627
SHP-1885,262.33,71.6,8.1,0,0.28,0.82,0.164
SHP-1886,1414.7,42.1,28.1,1,0.75,0.68,0.639
SHP-1887,119.89,55.8,16.1,0,0.9,0.9,0.282
SHP-1888,1528.96,61.0,3.2,0,0.47,0.56,0.424
SHP-1889,1725.85,25.0,20.7,0,0.7,0.8,0.522
SHP-1890,263.14,53.1,31.4,0,0.48,0.84,0.293
SHP-1891,1871.09,71.0,14.4,0,0.61,0.66,0.528
SHP-1892,1074.51,71.7,17.7,0,0.13,0.78,0.302
SHP-1893,1063.43,46.2,24.6,0,0.88,0.61,0.512
SHP-1894,616.45,15.5,5.9,0,0.46,0.89,0.23
SHP-1895,1488.06,16.5,30.8,1,0.41,0.66,0.596
SHP-1896,1142.81,46.6,0.6,0,0.2,0.64,0.286
SHP-1897,1590.88,23.5,25.3,1,0.77,0.56,0.682
SHP-1898,699.9,29.7,28.4,0,0.83,0.6,0.465
SHP-1899,1675.96,66.6,24.0,1,0.8,0.82,0.643
SHP-1900,988.92,45.9,44.6,1,0.46,0.9,0.539
SHP-1901,1859.19,5.9,26.1,1,0.56,0.51,0.693
SHP-1902,1175.93,25.2,45.8,1,0.07,0.57,0.56
SHP-1903,1689.44,25.7,18.8,0,0.53,0.58,0.519
SHP-1904,1231.09,15.1,5.8,0,0.78,0.65,0.434
SHP-1905,1722.75,51.7,13.6,0,0.09,0.93,0.345
SHP-1906,774.59,60.1,15.1,0,0.53,0.59,0.365
SHP-1907,779.72,4.6,10.1,0,0.09,0.75,0.225
SHP-1908,1608.1,65.3,7.7,0,0.34,0.74,0.392
SHP-1909,1754.06,23.7,16.4,0,0.77,0.55,0.573
SHP-1910,1965.43,38.1,49.6,0,0.72,0.73,0.691
SHP-1911,1441.67,38.6,0.2,0,0.93,0.84,0.435
SHP-1912,1208.86,8.1,23.3,0,0.1,0.88,0.319
SHP-1913,1503.83,3.6,37.9,0,0.32,0.59,0.523
SHP-1914,589.47,24.3,22.1,0,0.27,0.58,0.315
SHP-1915,273.2,69.1,28.0,0,0.21,0.67,0.261
SHP-1916,671.05,11.9,35.2,1,0.57,0.58,0.539
SHP-1917,657.19,64.5,27.0,0,0.13,0.73,0.287
SHP-1918,1367.22,9.4,2.7,0,0.43,0.59,0.384
SHP-1919,1212.44,43.5,41.8,1,0.62,0.65,0.643
SHP-1920,1644.01,51.9,33.5,0,0.97,0.87,0.601
SHP-1921,958.11,11.2,40.6,1,0.1,0.65,0.496
SHP-1922,1306.62,55.7,23.5,0,0.14,0.94,0.33
SHP-1923,553.2,27.4,9.2,0,0.92,0.66,0.372
SHP-1924,1728.54,24.7,24.4,0,0.48,0.67,0.519
SHP-1925,949.42,14.0,38.4,0,0.51,0.7,0.458
SHP-1926,1442.83,9.5,27.8,0,0.79,0.76,0.534
SHP-1927,831.59,30.9,31.0,0,0.97,0.69,0.505
SHP-1928,714.39,59.0,29.5,1,0.57,0.67,0.505
SHP-1929,1403.56,14.1,33.5,1,0.11,0.79,0.509
SHP-1930,684.49,8.8,22.3,1,0.96,0.53,0.578
SHP-1931,262.05,59.0,38.6,1,0.33,0.82,0.396
SHP-1932,169.89,17.2,6.9,0,0.58,0.87,0.195
SHP-1933,1629.19,55.0,33.0,1,0.53,0.69,0.644
SHP-1934,1176.97,15.7,34.1,1,0.3,0.89,0.495
SHP-1935,1375.14,66.3,46.8,1,0.99,0.79,0.733
SHP-1936,1242.41,37.7,42.4,1,0.06,0.94,0.48
SHP-1937,1937.4,2.1,28.0,1,0.11,0.64,0.597
SHP-1938,110.81,32.2,29.5,1,0.71,0.7,0.437
SHP-1939,898.62,16.8,8.7,0,0.14,0.77,0.244
SHP-1940,1694.49,27.2,20.9,1,1.0,0.83,0.672
SHP-1941,311.84,7.0,0.8,0,0.72,0.74,0.246
SHP-1942,901.63,71.3,4.2,0,0.64,0.7,0.34
SHP-1943,939.26,57.2,30.2,1,0.62,0.72,0.542
SHP-1944,877.04,59.4,19.2,0,0.23,0.71,0.312
SHP-1945,64.49,36.9,36.5,1,0.41,0.77,0.384
SHP-1946,765.59,70.5,28.4,1,0.11,0.74,0.402
SHP-1947,1396.47,11.9,36.6,1,0.46,0.54,0.64
SHP-1948,1785.34,8.2,23.6,0,0.68,0.76,0.546
SHP-1949,1180.28,44.9,45.2,0,0.47,0.75,0.502
SHP-1950,965.0,53.4,21.1,1,0.29,0.52,0.483
SHP-1951,1849.59,54.5,36.3,1,0.06,0.73,0.589
SHP-1952,379.7,5.6,49.5,0,0.29,0.54,0.405
SHP-1953,1035.91,61.6,13.9,0,0.13,0.64,0.309
SHP-1954,1722.82,3.0,5.6,0,0.17,0.79,0.357
SHP-1955,344.71,33.3,40.4,1,0.78,0.62,0.545
SHP-1956,402.58,38.9,1.7,0,0.98,0.97,0.269
SHP-1957,1211.31,59.5,41.9,1,0.77,0.62,0.679
SHP-1958,908.36,46.6,10.5,0,0.73,0.67,0.39
SHP-1959,1302.41,54.9,5.8,0,0.17,0.7,0.313
SHP-1960,637.67,54.2,37.6,0,0.38,0.85,0.352
SHP-1961,975.45,12.2,43.5,0,0.29,0.89,0.4
SHP-1962,794.91,24.1,26.5,0,0.1,0.76,0.293
SHP-1963,739.96,61.1,30.5,1,0.33,0.63,0.473
SHP-1964,241.64,47.8,19.6,0,0.77,0.87,0.295
SHP-1965,1481.91,43.2,9.7,0,0.34,0.84,0.361
SHP-1966,400.84,40.3,33.6,0,0.01,0.55,0.287
SHP-1967,252.62,33.2,11.0,0,0.28,0.59,0.22
SHP-1968,96.22,8.4,46.9,0,0.95,0.81,0.43
SHP-1969,1430.75,10.4,42.8,0,0.38,0.87,0.488
SHP-1970,1313.42,58.2,9.2,0,0.11,0.59,0.338
SHP-1971,624.41,48.2,3.8,0,0.45,0.99,0.201
SHP-1972,1550.25,50.5,33.4,1,0.26,0.88,0.542
SHP-1973,590.71,6.4,19.4,0,1.0,0.63,0.44
SHP-1974,1634.96,14.5,3.5,0,0.98,0.6,0.535
SHP-1975,815.64,47.2,5.4,0,0.54,0.71,0.31
SHP-1976,1247.23,9.4,22.1,1,0.1,0.54,0.487
SHP-1977,1164.12,19.5,22.3,1,0.15,0.81,0.432
SHP-1978,1869.14,48.5,13.3,0,0.7,0.94,0.486
SHP-1979,1170.55,38.1,47.0,1,0.48,0.7,0.62
SHP-1980,1469.15,58.9,3.5,0,0.23,0.69,0.342
SHP-1981,1394.06,56.6,6.1,0,0.54,0.99,0.344
SHP-1982,700.21,23.2,2.8,0,1.0,0.82,0.352
SHP-1983,762.44,61.7,17.0,0,0.84,0.87,0.376
SHP-1984,615.42,16.2,27.7,1,0.66,0.65,0.505
SHP-1985,810.7,9.5,34.4,1,0.08,0.81,0.413
SHP-1986,1483.88,11.8,9.7,0,0.72,0.79,0.447
SHP-1987,1004.0,6.4,27.0,1,0.5,0.97,0.465
SHP-1988,1632.97,69.7,0.8,0,0.34,0.67,0.382
SHP-1989,1455.97,30.4,10.6,0,0.65,0.76,0.439
SHP-1990,1883.18,62.9,26.8,0,0.92,0.52,0.67
SHP-1991,326.1,47.8,23.6,0,0.24,0.82,0.227
SHP-1992,78.01,46.3,45.2,0,0.46,0.58,0.369
SHP-1993,1202.53,59.2,5.3,0,0.5,0.89,0.324
SHP-1994,480.12,58.3,21.3,1,0.32,0.98,0.325
SHP-1995,1173.14,11.6,41.8,0,0.76,0.79,0.537
SHP-1996,704.23,10.5,7.1,0,0.42,0.84,0.25
SHP-1997,1129.15,32.7,46.3,0,0.13,0.89,0.403
SHP-1998,1282.78,28.3,7.9,0,0.88,0.54,0.492
SHP-1999,64.09,66.8,35.3,1,0.42,0.9,0.355
SHP-2000,1556.5,50.5,10.3,0,0.64,0.76,0.451
